,Province_State,Confirmed
0,Alabama,43953
1,Alaska,1134
3,Arizona,98103
4,Arkansas,23814
5,California,264681
6,Colorado,34048
7,Connecticut,46717
8,Delaware,12128
10,District of Columbia,10482
11,Florida,200111
12,Georgia,95516
15,Hawaii,1023
16,Idaho,7733
17,Illinois,147251
18,Indiana,48201
19,Iowa,31517
20,Kansas,16081
21,Kentucky,16376
22,Louisiana,65226
23,Maine,3415
24,Maryland,69632
25,Massachusetts,109974
26,Michigan,72941
27,Minnesota,38136
28,Mississippi,30900
29,Missouri,23816
30,Montana,1212
31,Nebraska,19929
32,Nevada,22418
33,New Hampshire,5897
34,New Jersey,173402
35,New Mexico,13256
36,New York,397131
37,North Carolina,72992
38,North Dakota,3816
40,Ohio,57150
41,Oklahoma,15931
42,Oregon,10230
43,Pennsylvania,94403
45,Rhode Island,16991
46,South Carolina,44847
47,South Dakota,7063
48,Tennessee,51316
49,Texas,194932
50,Utah,24952
51,Vermont,1249
53,Virginia,65748
54,Washington,35898
55,West Virginia,3262
56,Wisconsin,31577
57,Wyoming,1634
