,Province_State,Confirmed
0,Alabama,17952
1,Alaska,459
3,Arizona,19936
4,Arkansas,7253
5,California,111951
6,Colorado,26364
7,Connecticut,42201
8,Delaware,9498
10,District of Columbia,8801
11,Florida,56163
12,Georgia,47063
15,Hawaii,652
16,Idaho,2839
17,Illinois,120260
18,Indiana,34574
19,Iowa,19552
20,Kansas,9700
21,Kentucky,9704
22,Louisiana,39916
23,Maine,2325
24,Maryland,52778
25,Massachusetts,96965
26,Michigan,57397
27,Minnesota,24850
28,Mississippi,15523
29,Missouri,13438
30,Montana,515
31,Nebraska,14101
32,Nevada,8628
33,New Hampshire,4651
34,New Jersey,160445
35,New Mexico,7689
36,New York,370770
37,North Carolina,28785
38,North Dakota,2577
40,Ohio,35513
41,Oklahoma,6418
42,Oregon,4243
43,Pennsylvania,76129
45,Rhode Island,14928
46,South Carolina,11861
47,South Dakota,4993
48,Tennessee,22566
49,Texas,64652
50,Utah,9797
51,Vermont,981
53,Virginia,44607
54,Washington,21702
55,West Virginia,2010
56,Wisconsin,18403
57,Wyoming,903
