,Province_State,Confirmed
0,Alabama,5593
1,Alaska,335
3,Arizona,5473
4,Arkansas,2276
5,California,37344
6,Colorado,10891
7,Connecticut,22469
8,Delaware,3200
10,District of Columbia,3206
11,Florida,28309
12,Georgia,21214
15,Hawaii,592
16,Idaho,1766
17,Illinois,35107
18,Indiana,12438
19,Iowa,3748
20,Kansas,2331
21,Kentucky,3378
22,Louisiana,25258
23,Maine,907
24,Maryland,14775
25,Massachusetts,42944
26,Michigan,33966
27,Minnesota,2722
28,Mississippi,4894
29,Missouri,6277
30,Montana,439
31,Nebraska,1813
32,Nevada,4081
33,New Hampshire,1588
34,New Jersey,95914
35,New Mexico,2210
36,New York,263292
37,North Carolina,7495
38,North Dakota,679
40,Ohio,14117
41,Oklahoma,2894
42,Oregon,2059
43,Pennsylvania,36082
45,Rhode Island,5841
46,South Carolina,4761
47,South Dakota,1858
48,Tennessee,7394
49,Texas,21321
50,Utah,3445
51,Vermont,823
53,Virginia,10266
54,Washington,12596
55,West Virginia,939
56,Wisconsin,4845
57,Wyoming,447
