,Province_State,Confirmed
0,Alabama,42862
1,Alaska,1107
3,Arizona,94567
4,Arkansas,23209
5,California,252895
6,Colorado,33849
7,Connecticut,46717
8,Delaware,11996
10,District of Columbia,10447
11,Florida,190052
12,Georgia,93319
15,Hawaii,999
16,Idaho,7370
17,Illinois,146612
18,Indiana,47432
19,Iowa,31061
20,Kansas,15911
21,Kentucky,16376
22,Louisiana,63289
23,Maine,3397
24,Maryland,69341
25,Massachusetts,109838
26,Michigan,72581
27,Minnesota,37624
28,Mississippi,30674
29,Missouri,23583
30,Montana,1167
31,Nebraska,19827
32,Nevada,21575
33,New Hampshire,5872
34,New Jersey,173033
35,New Mexico,13063
36,New York,396598
37,North Carolina,71670
38,North Dakota,3779
40,Ohio,56183
41,Oklahoma,15648
42,Oregon,9930
43,Pennsylvania,93922
45,Rhode Island,16991
46,South Carolina,43386
47,South Dakota,7028
48,Tennessee,50140
49,Texas,192153
50,Utah,24542
51,Vermont,1238
53,Virginia,65109
54,Washington,35247
55,West Virginia,3205
56,Wisconsin,31055
57,Wyoming,1606
