,Province_State,Confirmed
0,Alabama,31097
1,Alaska,760
3,Arizona,58378
4,Arkansas,16678
5,California,191477
6,Colorado,30877
7,Connecticut,45899
8,Delaware,10847
10,District of Columbia,10094
11,Florida,103503
12,Georgia,67810
15,Hawaii,819
16,Idaho,4254
17,Illinois,137825
18,Indiana,42871
19,Iowa,26469
20,Kansas,12537
21,Kentucky,14141
22,Louisiana,51595
23,Maine,2996
24,Maryland,65007
25,Massachusetts,107439
26,Michigan,68197
27,Minnesota,33469
28,Mississippi,22898
29,Missouri,19005
30,Montana,743
31,Nebraska,18099
32,Nevada,13528
33,New Hampshire,5571
34,New Jersey,169734
35,New Mexico,10838
36,New York,389085
37,North Carolina,54639
38,North Dakota,3320
40,Ohio,46127
41,Oklahoma,11031
42,Oregon,7274
43,Pennsylvania,87208
45,Rhode Island,16533
46,South Carolina,26572
47,South Dakota,6353
48,Tennessee,36303
49,Texas,122932
50,Utah,18300
51,Vermont,1164
53,Virginia,58994
54,Washington,29386
55,West Virginia,2593
56,Wisconsin,25331
57,Wyoming,1254
