,Province_State,Confirmed
0,Alabama,14478
1,Alaska,407
3,Arizona,16377
4,Arkansas,5922
5,California,94020
6,Colorado,24174
7,Connecticut,40468
8,Delaware,8809
10,District of Columbia,8110
11,Florida,50867
12,Georgia,42902
15,Hawaii,643
16,Idaho,2626
17,Illinois,110304
18,Indiana,31376
19,Iowa,17251
20,Kansas,9004
21,Kentucky,8571
22,Louisiana,37169
23,Maine,2055
24,Maryland,46313
25,Massachusetts,92675
26,Michigan,54679
27,Minnesota,20573
28,Mississippi,13260
29,Missouri,12149
30,Montana,479
31,Nebraska,12134
32,Nevada,7881
33,New Hampshire,4149
34,New Jersey,154154
35,New Mexico,6943
36,New York,361515
37,North Carolina,23365
38,North Dakota,2418
40,Ohio,31911
41,Oklahoma,6037
42,Oregon,3927
43,Pennsylvania,71563
45,Rhode Island,14065
46,South Carolina,10096
47,South Dakota,4563
48,Tennessee,20111
49,Texas,55861
50,Utah,8392
51,Vermont,956
53,Virginia,36244
54,Washington,19828
55,West Virginia,1759
56,Wisconsin,15277
57,Wyoming,838
