,Province_State,Confirmed
0,Alabama,11771
1,Alaska,388
3,Arizona,13945
4,Arkansas,4759
5,California,80166
6,Colorado,21938
7,Connecticut,37419
8,Delaware,7670
10,District of Columbia,7123
11,Florida,45588
12,Georgia,37579
15,Hawaii,640
16,Idaho,2419
17,Illinois,94191
18,Indiana,27778
19,Iowa,14651
20,Kansas,7953
21,Kentucky,7688
22,Louisiana,34432
23,Maine,1687
24,Maryland,38804
25,Massachusetts,86010
26,Michigan,51142
27,Minnesota,15668
28,Mississippi,11296
29,Missouri,11108
30,Montana,468
31,Nebraska,10177
32,Nevada,6949
33,New Hampshire,3596
34,New Jersey,146504
35,New Mexico,5938
36,New York,350121
37,North Carolina,18673
38,North Dakota,1900
40,Ohio,27923
41,Oklahoma,5310
42,Oregon,3623
43,Pennsylvania,65700
45,Rhode Island,12674
46,South Carolina,8816
47,South Dakota,3987
48,Tennessee,17359
49,Texas,48396
50,Utah,7238
51,Vermont,940
53,Virginia,30388
54,Washington,18433
55,West Virginia,1492
56,Wisconsin,12543
57,Wyoming,754
