,Province_State,Confirmed
0,Alabama,4571
1,Alaska,309
3,Arizona,4511
4,Arkansas,1695
5,California,29157
6,Colorado,8691
7,Connecticut,16809
8,Delaware,2317
10,District of Columbia,2476
11,Florida,24759
12,Georgia,17194
15,Hawaii,541
16,Idaho,1609
17,Illinois,27578
18,Indiana,10154
19,Iowa,2332
20,Kansas,1730
21,Kentucky,2522
22,Louisiana,23118
23,Maine,827
24,Maryland,11572
25,Massachusetts,34402
26,Michigan,30023
27,Minnesota,2070
28,Mississippi,3793
29,Missouri,5371
30,Montana,422
31,Nebraska,1066
32,Nevada,3524
33,New Hampshire,1287
34,New Jersey,78467
35,New Mexico,1597
36,New York,230597
37,North Carolina,6045
38,North Dakota,393
40,Ohio,9107
41,Oklahoma,2465
42,Oregon,1785
43,Pennsylvania,29888
45,Rhode Island,4177
46,South Carolina,4099
47,South Dakota,1411
48,Tennessee,6263
49,Texas,17849
50,Utah,2793
51,Vermont,779
53,Virginia,7491
54,Washington,11517
55,West Virginia,775
56,Wisconsin,4053
57,Wyoming,305
