,Province_State,Confirmed
0,Alabama,6539
1,Alaska,345
3,Arizona,6725
4,Arkansas,3069
5,California,44966
6,Colorado,13879
7,Connecticut,25997
8,Delaware,4162
10,District of Columbia,3892
11,Florida,32138
12,Georgia,24302
15,Hawaii,607
16,Idaho,1897
17,Illinois,45883
18,Indiana,15961
19,Iowa,5868
20,Kansas,3473
21,Kentucky,4156
22,Louisiana,27068
23,Maine,1023
24,Maryland,19487
25,Massachusetts,56462
26,Michigan,38210
27,Minnesota,3811
28,Mississippi,6094
29,Missouri,7305
30,Montana,449
31,Nebraska,3358
32,Nevada,4700
33,New Hampshire,1938
34,New Jersey,111188
35,New Mexico,2825
36,New York,291996
37,North Carolina,9428
38,North Dakota,942
40,Ohio,16325
41,Oklahoma,3281
42,Oregon,2354
43,Pennsylvania,43558
45,Rhode Island,7708
46,South Carolina,5613
47,South Dakota,2244
48,Tennessee,9918
49,Texas,25321
50,Utah,4236
51,Vermont,855
53,Virginia,13538
54,Washington,13686
55,West Virginia,1063
56,Wisconsin,6081
57,Wyoming,520
