tweet,location
#ChallengeCoin #JPEST #Javits #Pigeon Elimination Strike Team #OperationGotham2020  #NYC #Manhattan #BigApple ☆☆  https://t.co/HSlTRFKpFx  ☆☆  #NY Dept of… https://t.co/QWdmK6XS74,New York
"Happy birthday Jacob so proud of my son today helping in the covid fight in Brooklyn! @ Brooklyn, New York https://t.co/zioSm3qLUV",New York
"This morning starts a 2 week “staycation” ... or in the pandemic a ‘vidcation! @ Worcester, Massachusetts https://t.co/LZx4VQ5FYz",Massachusetts
"The pandemic had made it hard for her. I believe she's scared too. So if us disagree on how you get the virus. (@ UPS Air Hub in Atlanta, GA) https://t.co/7XMo6F1bxa",Georgia
"We still in the first wave of this pandemic outbreak and history is repeating itself once again. I'm very optimistic things are gonna turn out for the best this time around 😊
#pandemic… https://t.co/ffXmS8BYa8",Florida
Show off your style with these masks from @lapetiterobemi . They feature stretch for comfort and have an internal layer that is anti bacterial and washable. $1 of each sale goes to the COVID relief fund . Non -… https://t.co/i1Z9b0j3zz,Florida
Let’s. Continue to exercise social distancing. And have a wonderful  safe COVID19 weekend 🙏🏿🙏🏿🙏🏿🙏🏿 @ Brownsville BKLYN https://t.co/CYEnmBp68p,New York
"Have a good weekend, Fort Lauderdale! 🌴
#goodmorning #fortlauderdale #morning #coffee #southflorida #florida #june #spring #beach #sun #quarantine #wakeup #love #amazing #beautiful #pool #photooftheday #coronavirus #saturday #weekend #friends #photography #visitlauderdale https://t.co/Uw7YKK4iOT",Florida
"The final race is about to begin—The @SpartanRace Beast which is 13.2 miles &amp; (30) obstacles.  

I started this journey when Covid-19 hit &amp; couldn’t go to the gym or train BJJ &amp; MMA.  It… https://t.co/bYR2SIZ4W9",Indiana
#Music #Science #Coronavirus Your favorite band knows how long the pandemic will last https://t.co/I5wjdumPJL https://t.co/tDxrzF0AW5,Florida
"Coronavirus 2nd Wave? Nope, The U.S. Is Still Stuck In The 1st One : Shots - Health News : NPR
https://t.co/PpfUbDamEc",New York
"This week is traditionally Miss Ohio Week! While the festivities are postponed until 2021 due to the COVID-19 pandemic, we thought it would be fun to reminisce on some memories from the past four years with our Miss… https://t.co/X6kcSv4vij",Ohio
"Bouldin Creek Cafe is one of my all time favorite places to eat in Austin. Unfortunately, they were recently burglarized. Small businesses like them are already suffering because of the pandemic. Order some takeout… https://t.co/TbXCl3rIfU",Texas
"...🤔
.
.
For the past few weeks, we've been thinking A LOT. A lot about the death of George Floyd, about racism, about protests, about donating, about justice, about our health, about coronavirus, about being… https://t.co/How8omHkAW",New Jersey
"Good Morning. During the current Coronavirus (COVID-19) outbreak, the Township of Ocean Historical Museum will be closed.  We are currently closed through Monday, July 6, 2020.  Please continue to check with us to see if that date has changed. https://t.co/EhhAXnxucc https://t.co/FcS7KrFIjK",New Jersey
"Oh How I missed you. Yesterday was my first time back to a Chick-fil-A since the Coronavirus hit in March.😍🍔🐓🥤
.
.
.
#chicfila 
#anticipation
#missyou
#truelove
#food
#foodhumor
#humor
#fastfood
#drivethrough… https://t.co/k0RvlMbaYx",Florida
"We are @brfarmersmarket today!!! A special market deal for today- 10 pops for $25 (available individually too).
.
.
Per market rules during Covid, prepared food has to be eaten off site. Please grab your pop on the… https://t.co/45Uh0mPBfu",Indiana
In like a star out like a star #cheflife #chefsofinstagram #coronavirus #kitchenbandits #buckscounty #star @ Steam Pub https://t.co/CznXClHXPO,Pennsylvania
Corona NY Sat Jun 13th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York
"Trendz by Tammy Hair Salon in Houston is a full service hair salon. We are open post Coronavirus quarantine and in full effect. We do relaxers, natural hair, dreadlocks, sew ins, even fingerwaves  and jheri curls.… https://t.co/F4cM1Zn6Xk",Texas
"FYI fellow Virginians, June 16th is deadline for applying for absentee voting due to Covid19. You can apply online. They have made it easy and clearly marked. Primary elections are on June 23rd. Mark your calendar… https://t.co/xDWvTHtTVp",Virginia
"COVID-19: Straight Answers from Top Epidemiologist Who Predicted the Pandemic - Blue Zones
https://t.co/SEFhWrSkvB",New York
"Reopening prep continues with custom masks from @sew_lab! Is that orange woodgrain, you might ask? Why yes, yes it is ;). Masks will be available for purchase at our front desk.  #makerspace #maskup #covid19… https://t.co/z0MPoCtz7r",Maryland
The last time we were in a restaurant...3/7! Cannot wait to go out to eat 😁 petecurcio! #foodie #nyc  #covid19 #rbny @ Rockaway Beach https://t.co/QheSNfugxd,New York
"Another day of #wintersoldier #cosplay 
#covidhair #covid_19 @ Rudy &amp; Kelly - Greenbrier https://t.co/wc4KMnqn0I",Virginia
"They finally get to meet! Baby Ari was born a little before Eman was deployed for many months, then corona hit, yet now, they finally get to meet face to face! 

Eman is a true American hero and we are on his team.… https://t.co/5L8nIh3gLN",Ohio
Small businesses affected by #COVID19 can soon submit their applications for loans &amp; grants to our new Durham Small Business Recovery Fund. The $2M fund consists of $1M each from @CityofDurhamNC &amp; @DukeU and will be administered by @CarolinaSmBiz. Details: https://t.co/2sTaNC4bS8 https://t.co/JvtoiI9QCU,North Carolina
"Williamsburg 6.20 COVID19
BLM
•
So what has protesting accomplished?

👉🏾Within 10 days of sustained protests:
Minneapolis bans use of choke holds.

👉🏾Charges are upgraded against Officer Chauvin, and his accomplices… https://t.co/NqBWIX5PU3",New York
"#thesagacontinues #covid19 #globalpandemic the United States hit the 2.1 million mark of cases and over 116,000 deaths as of today. Continue to be safe as numbers are going up again in many states! #facemask… https://t.co/eF3qC15mWc",New Mexico
Yaaaaaas...We made it thru!!! I'M OVER EXCITED TO SAY...APPOINTNENTS ARE NOW AVAILABLE!! We Beat the #covid19 quarantine!! Now back to business and making that hair bounce again!! As we move forward we are going… https://t.co/uK1bWswlBo,New Jersey
"Can’t wait to check out the westtisburyfarmersmarket at the Ag Hall this summer! Today is their opening day, I urge everyone to be patient and kind while they work out the kinks of their new spot AND covid safety… https://t.co/MG6bkDlExT",Massachusetts
"100 years later:  I'm sure at least one parent out there has considered this while schools have been closed. 

#coronavirus #COVID19 #SaveThePostOffice https://t.co/j2GiwZX6EQ",Virginia
GIT(GOD I TRUST) RIGHT ALL DAY EVERYDAY 🙏☝️🇺🇸#GITRIGHT #GODITRUST #GODSSOLDIERS #PSALM23 #BLESSED #JESUS #JESUSTRONG #JESUSISMYSUPERHERO #amjoy #athlete #athletesvscancer #mma #coronavirus #whittier #losangeles… https://t.co/K4K6rlAUt8,California
"Meet @itsmesweetsi 🙋🏻‍♀️- she used to be my assistant 💇🏻‍♀️💆🏽‍♀️until she moved to Australia 🦘and San Diego☀️. She’s back in Chicago 🌃, got bored during COVID quarantine 🦠 🥱, and ended up with self-done PINK hair… https://t.co/grZKCIm2Hq",Illinois
"Someone please call ⠀
9 wine wine! ⠀
It’s FINALLY the Weekend! 🍷☎️⠀

If time, Covid, people and money were no object, what would you do this weekend? ☀️⠀

#southernchicstyle… https://t.co/2QJoOjeujr",Texas
Can I be any clearer than this? Be a good neighbor too. In my Mr. Rogers voice. #stayhome #socialdistancing #covid19 @ Washington D.C. https://t.co/wxizAiKG0E,District of Columbia
"Shyne On Me- “iSOULated” (Official Video) 😷⚠️🦠 OUT NOW!!!
Link In Bio!

#Covid19 #Quarantine #Isolation #StayAtHome #CHH #DMVSoul #DCRap #essentialworkers #GospelRap #CoronaVirus #SoulOfTheCity @ Southeast,… https://t.co/9OHNrjU8tQ",District of Columbia
"Practice at Palmer Ridge during COVID. six feet apart...like trying to swim without getting wet. @ Monument, Colorado https://t.co/b64N4dElF6",Colorado
"Between pandemic and protests, much of the city is boarded up. As we slowly reopen, it’s quite hard to tell what is actually open and what is closed! 
Hello? 
Anybody home?
🤪

#pandemic… https://t.co/UfPMMkNWuu",New York
"a tale of pandemic
•
•
•
•
#Florida #sunshinestate #stateofmind #morning #beach #playa #sea #summer #ocean #sun #beautiful #waves #landscape #sky #sand #travelgram #instagram #coronavirus #Tropics #cancer #caribbean… https://t.co/oIf4Mq8WRS",Florida
