tweet,location
"So this is a #causeandeffect effect video: 
I have been even more motivated to build up my strength in wake of the #covid and  #georgefloyd killing. I will not just lay down with out a fight ... ever I encourage all… https://t.co/WQPxolYD6i",New York
"SLIDE is to SUMMER 
COVID SLIDE is to ? @ Mount Lebanon, Pennsylvania https://t.co/bPAp637cF7",Pennsylvania
"Happy Hump Day! 🥂

One bright side to COVID is that more restaurants are doing patio and street side dining. 🍷

It is something that is the norm in Europe, I ended up falling in love with it when I was in France,… https://t.co/XXjz3YhMXZ",New York
"Good Morning. During the current Coronavirus (COVID-19) outbreak, the Township of Ocean Historical Museum will be closed.  We are currently closed through Monday, July 6, 2020.  Please continue to check with us to see if that date has changed. https://t.co/EhhAXnxucc https://t.co/n30OuqxeFJ",New Jersey
"#Dentistry has already made a ton of changes due to COVID-19 but consider adding one more.  Create a complimentary culture within your practice!  Link to my blog post on the @AGDdentist ""Daily Grind"" here: https://t.co/9VquheS4kr

#Dentist #PracticeManagement #Teamwork #Culture https://t.co/QQyYok6OdE",Illinois
"On Monday, the National Bureau of Economic Research (NBER) announced that the U.S. economy is officially in a recession. This did not come as a surprise to many. Everyone realizes that the pandemic shut down the… https://t.co/toSvxBH8Wu",New York
Corona NY Wed Jun 10th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York
Online Shopping Isn't What It Used To Be Since COVID-19   https://t.co/DF8uA7ptOo,New York
Online Shopping Isn't What It Used To Be Since COVID-19   https://t.co/7MNGfSeFc8,New York
Closing out on Covid19 and wrapping up the room for the class of #2020. @ Grace Christian Academy https://t.co/x9mLFkFkiz,Wisconsin
"With higher than usual amounts of requests still due to COVID19 and the amount of families without jobs to cover costs for basic living essentials, we have been trying our best to aid these families in essential… https://t.co/vELHrFhCMx",Florida
"Good morning ☀️ from the pond! Despite the northern breeze, it was my kind of paddle. Beautiful! It’s our second day out since scrambling, due to pandemic, to start the program this year with the saltpondscoalition… https://t.co/pWuo8eQSnq",Rhode Island
"Happy #wednesday 💼 👩‍💼
Re-opening is far from easy but launching the new wellness product you've put on hold due to COVID-19 will require some strategic thinking &amp; some ""free"" tips to help your planning process.… https://t.co/trRxBoEs92",New York
"Thank you to all #EssentialWorkers who continue to fight on the frontlines. Repost secret_nyc 
・・・
This massive mural was painted in Flushing, Queens as a tribute to all those lost during the pandemic, and to… https://t.co/sTu0E33iJm",New York
🦁🍑💯 Let me know if you need some #PeachLion love in your life. I know I failed on the postcards from Colombia (having to flee the country due to a pandemic and all that)... I’m happy to drop some #stickerart in the… https://t.co/4OqHWHIYUu,Louisiana
"Reminiscing on the best holiday I’ve been on, where Luke decided he wanted to be with me forever. 💍

Thanks to covid, the next holiday we book will be our honeymoon, (eeek!) and so I’m very glad my bestie… https://t.co/GK0q7LZEF9",New York
"#Manflu confirmed: #COVID-19's deadliness for men is revealing why researchers should have been studying immune system sex differences years ago!

https://t.co/1oNCfiYjmh #Immunology #Science #COVID19 #SARSCoV2 #Coronavirus #Coronapocalypse #Pandemic #Medicine #Health #Data",District of Columbia
