,Province_State,Confirmed
0,Alabama,29549
1,Alaska,741
3,Arizona,50127
4,Arkansas,15142
5,California,175213
6,Colorado,30333
7,Connecticut,45715
8,Delaware,10681
10,District of Columbia,9984
11,Florida,93797
12,Georgia,63809
15,Hawaii,789
16,Idaho,4004
17,Illinois,136104
18,Indiana,42061
19,Iowa,25496
20,Kansas,12097
21,Kentucky,13630
22,Louisiana,49385
23,Maine,2938
24,Maryland,63956
25,Massachusetts,106936
26,Michigan,67545
27,Minnesota,32467
28,Mississippi,20641
29,Missouri,18056
30,Montana,698
31,Nebraska,17707
32,Nevada,12976
33,New Hampshire,5518
34,New Jersey,168834
35,New Mexico,10430
36,New York,387272
37,North Carolina,51390
38,North Dakota,3251
40,Ohio,44261
41,Oklahoma,10038
42,Oregon,6572
43,Pennsylvania,85590
45,Rhode Island,16337
46,South Carolina,23756
47,South Dakota,6225
48,Tennessee,34446
49,Texas,109581
50,Utah,17068
51,Vermont,1147
53,Virginia,57443
54,Washington,28225
55,West Virginia,2500
56,Wisconsin,24539
57,Wyoming,1179
