,tweet,tweet,location,Unnamed: 0.1,Confirmed
28,happy easter everyone easter happyeaster quarantine corona virus abnormalattraction comedy getfuzzy stayhome staysafe bobbypriv leavs16 new york new york,"Happy Easter Everyone!! #Easter #happyeaster #quarantine #corona #virus #abnormalattraction #comedy #getfuzzy #stayhome #staysafe @bobbypriv  @Leavs16 @ New York, New York https://t.co/AUPd6lYNIH",New York,36.0,189033.0
29,went bit walk million podcasts flushing meadow corona park,I went for a bit of a walk. I somehow still have a million podcasts. @ Flushing Meadows - Corona Park https://t.co/2ezf9thCK7,New York,36.0,189033.0
30,fresh air park artmuseum corona art covid nineteen outside staysafe nassau county museum art,Fresh Air in the Park #artmuseum #corona #art #covid_19 #outside #staysafe @ Nassau County Museum of Art https://t.co/ZHCZTN3GyD,New York,36.0,189033.0
31,visiting usp alcatraz bought harmonica knowing entertain son much keepinghimbusy uspalcatraz harmonica corona new york,"While visiting USP Alcatraz I bought a harmonica not knowing that it will entertain my son so much... #keepingHimBusy #USPAlcatraz #harmonica @ Corona, New York https://t.co/bIy2CrRCLb",New York,36.0,189033.0
32,corona ny sun apr 12th pm forecast tonight partly cloudy lo thirty-one saturday sunny hi forty-one,Corona NY Sun Apr 12th PM Forecast: TONIGHT Partly Cloudy Lo 31 SATURDAY Sunny Hi 41,New York,36.0,189033.0
33,goodbye twenty-one wow happy 22nd birthday ryan coronabeer lunch home best corona still delivering delicious food is dessert actually food manhattan love you manhattan new york,"Goodbye 21! Wow! Happy 22nd Birthday Ryan!!!! #coronabeer lunch at home. Best we can do because of #corona ....still delivering delicious food (is dessert actually food?) in Manhattan! Love you! @ Manhattan, New York https://t.co/hW85ZxmLyL",New York,36.0,189033.0
34,corona girl westminster massachusetts,"Corona girl @ Westminster, Massachusetts https://t.co/Kj97oYOPs7",Massachusetts,25.0,25475.0
35,easter breakfast quarantine corona easter indian fishin ' lake,Easter breakfast #quarantine #corona #easter @ Indian Fishin' Lake https://t.co/bC7D1Uj3fd,West Virginia,53.0,593.0
36,bringing outdoors inside since know corona happyeaster corona forsythia hyacinth flower flowersinstagram lincoln rhode island,"Bringing some of the outdoors inside since, you know, corona.  #happyeaster #corona #forsythia #hyacinth #flowers #flowersinstagram @ Lincoln, Rhode Island https://t.co/y3TngDwwYn",Rhode Island,44.0,2665.0
37,sign time corona coronavirus mask bikeride denver colorado cherry creek trail,A sign of the times. #corona #coronavirus #mask #bikeride #denver #Colorado @ Cherry Creek Trail https://t.co/tfgJeKRl2O,Colorado,6.0,7307.0
38,two thousand and twenty easter got like happy easter friend better time ahead covid19 corona quarantinelife quarantined ormond beach florida,"2020 Easter got me like.....
Happy Easter friends.
Better times are ahead.  
#covid19 #corona #quarantinelife #quarantined @ Ormond Beach, Florida https://t.co/P8sG9rFSnr",Florida,11.0,19895.0
39,adventure corona donkey easter two thousand and twenty boxcrafts corona stayhome easter fort lauderdale florida,"The Adventures of Corona the donkey on Easter 2020! #boxcrafts #corona #stayhome #easter @ Fort Lauderdale, Florida https://t.co/E52HunmYpF",Florida,11.0,19895.0
40,four twelve two thousand and twenty jesus paid all owe happy corona easter family yours mount dora florida,"|4.12.2020| Jesus paid it all, all to Him I owe. Happy (Corona) Easter from our family to yours. @ Mount Dora, Florida https://t.co/igC9rDpNFZ",Florida,11.0,19895.0
41,easter two thousand and twenty mahi tuna brussel sprout wine corona parkland florida,"Easter 2020
Mahi, tuna, brussel sprouts ... and wine, not Corona @ Parkland, Florida https://t.co/ITkcAo1deJ",Florida,11.0,19895.0
42,easter two thousand and twenty safe people play safe amp stay home this corona virus real dont forget true meaning easter quarantine easter2020 stayhome heisrisen little fall new jersey,"Easter 2020 be safe out there people.
Play it safe &amp; stay home.this Corona Virus is real.Dont forget the true meaning of Easter #quarantine #easter2020 #stayhome #heisrisen @ Little Falls, New Jersey https://t.co/wEKt5QB2QY",New Jersey,34.0,61850.0
43,covid19 corona two thousand and twenty quarantine stayhome stayhealthy charlotte north carolina,"#covid19 #corona #2020 #quarantine #stayhome #stayhealthy @ Charlotte, North Carolina https://t.co/JdBv7IDOWl",North Carolina,37.0,4570.0
44,nation groove stayinghome funk alonetogether da corona covid nineteen north carolina,ONE NATION UNDER A GROOVE #STAYINGHOME FOR THE FUNK OF IT #ALONETOGETHER due Da #corona #covid_19 @ North Carolina https://t.co/oBQIb3xMKU,North Carolina,37.0,4570.0
45,easter lamp chop easter corona lambchop fhjerk island vybes kitchen fh jerk,Easter Lamp Chop!!! #easter #corona #lambchops #FHJerk @ Island Vybes Kitchen by FH Jerk https://t.co/umGmCCEi26,Illinois,17.0,20852.0
46,celebrating easter corona virus style lakeview east chicago,"Celebrating Easter Corona Virus style @ Lakeview East, Chicago https://t.co/pAyaMFZZM9",Illinois,17.0,20852.0
47,don ' judge me champagne taste beer pocket book home beer corona heineken redstripe greenmount guilford greenacresinguilford eastersunday easter easterbunny green acre guilford,"Don't judge me.  
Champagne taste, beer pocket book. 

#home #beer #corona #heineken #redstripe #greenmount #guilford #greenacresinguilford #eastersunday #easter #easterbunny @ Green Acres in Guilford https://t.co/6wUrYtaKUz",Maryland,24.0,8225.0
48,hotnigga entrepreneur baltimore maskup stayhome quarantine betterlife corona mask maryland livesmart thebestatit baltimore maryland,"#hotnigga #entrepreneur #baltimore #maskup #stayhome #quarantine #betterlife #corona #mask #maryland #livesmart # thebestatit @ Baltimore, Maryland https://t.co/6qXVzTuXV1",Maryland,24.0,8225.0
49,family yours risen easter heisrisen resurrectionday covid corona quarantine montana,"From Our Family to Yours!
He Is Risen!
#easter #heisrisen #resurrectionday #covid #corona #quarantine @ Montana https://t.co/ux2FuAmjLM",Montana,30.0,387.0
50,`` my latest post ' utilitypole rust green staple corona pixel3xl pixel iger instagram gram nature new orleans louisiana,"""My Latest Post'

#utilitypole #rust #green #staples #corona #pixel3xl #pixel #iger #instagram #gram #nature @ New Orleans, Louisiana https://t.co/g7h4a6jubT",Louisiana,22.0,20595.0
51,corona blue jazz funk rnb grownfolkmusic smithsonian national museum african american history culture,Corona Blues #jazz #funk #rnb #grownfolkmusic @ Smithsonian National Museum of African American History and Culture https://t.co/eX9tVuS3Vs,District of Columbia,10.0,1875.0
52,happy easter redeemer life easter easterdecor easterathome corona prospecthillinn quarantinelife tablescapechallenge prospect hill inn amp restaurant,Happy Easter!  Our Redeemer Lives. #easter #easterdecor #easterathome #corona #prospecthillinn #quarantinelife #tablescapechallenge @ Prospect Hill Inn &amp; Restaurant https://t.co/INKrVKd4Iq,Virginia,51.0,5274.0
