,Province_State,Confirmed
0,Alabama,11674
1,Alaska,388
3,Arizona,13666
4,Arkansas,4578
5,California,78725
6,Colorado,21633
7,Connecticut,36703
8,Delaware,7547
10,District of Columbia,7042
11,Florida,44811
12,Georgia,37212
15,Hawaii,639
16,Idaho,2419
17,Illinois,92457
18,Indiana,27280
19,Iowa,14328
20,Kansas,7939
21,Kentucky,7688
22,Louisiana,34117
23,Maine,1648
24,Maryland,37968
25,Massachusetts,84933
26,Michigan,50538
27,Minnesota,14969
28,Mississippi,11123
29,Missouri,10959
30,Montana,468
31,Nebraska,10220
32,Nevada,6813
33,New Hampshire,3556
34,New Jersey,145089
35,New Mexico,5847
36,New York,348232
37,North Carolina,18130
38,North Dakota,1848
40,Ohio,27474
41,Oklahoma,5237
42,Oregon,3612
43,Pennsylvania,65185
45,Rhode Island,12434
46,South Carolina,8661
47,South Dakota,3959
48,Tennessee,17263
49,Texas,47452
50,Utah,7068
51,Vermont,934
53,Virginia,29683
54,Washington,18288
55,West Virginia,1470
56,Wisconsin,12187
57,Wyoming,741
