,tweet,location,Unnamed: 0,Province_State,Confirmed
0,We’ve tuned into #mansBestFriend. #Dogs #corona #covid19 @ Where Else? https://t.co/5GRnc9nUEU,Oregon,42,Oregon,1663
1,"What a great buddy to shelter in place with!
🐈❤️🐾
#covid-19sucks
#thistooshallpass
#catsrock #ohspets #shelterinplace #stayathome #corona #coronavirus #tabbycat #tabby #tabbycatsofinstagram #tabbycats… https://t.co/5t3TODqFvS",Oregon,42,Oregon,1663
2,"Missing my days without this Corona stuff... #singing #singinglessons #corona #coronamemes #coronasucks @ Bend, Oregon https://t.co/qlOgIBpWVY",Oregon,42,Oregon,1663
3,"Thank you Uncle Sam! The irsnews wasn’t playing out paying up this week. #irs #stimuluscheck #corona @ South Columbus, Groveport, Ohio https://t.co/24xZPiOQfQ",Ohio,40,Ohio,7794
4,"FUCK #Corona 🖕🏾🖕🏾🖕🏾
.
.
#Everybody #StaySafe #StayHealthy @ In the Front of My House https://t.co/FuwTexcOHl",Ohio,40,Ohio,7794
5,"Here are 10 pictures of the hotel @RONSONORIGINALS is going to have 3 of his models, who have positions and titles for @RONSONORIGINALS for his next photoshoot as soon as the Corona lockdown is over. My wife and… https://t.co/TU0C88601k",Ohio,40,Ohio,7794
6,Tonight we had a serious game of #uno during our #socialdistancing and had lots of laughs! And Mom won the most! lol #corona #coronaquarantine #makingmemories #mommysgirls #kyliepaige… https://t.co/NHZJh4LrYQ,Ohio,40,Ohio,7794
7,Black Movies streaming during the Corona Pandemic  https://t.co/G833YhPVYP,New York,36,New York,214454
8,Black Movies streaming during the Corona Pandemic  https://t.co/6yk7vjbqjZ,New York,36,New York,214454
9,"I miss taking the undergrounds and subways of this world and look at un-pixelated people.

Picture by fabian.riediger 
Thank you, my Dortmunder Jung!

#underground #corona #newyork @ New York, New York https://t.co/zk3sMDSJml",New York,36,New York,214454
10,What defines your life // corona times  https://t.co/nRNlA1Mg0X,New York,36,New York,214454
11,Corona NY Wed Apr 15th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York,36,New York,214454
12,"Flattening the curve!
.
.
.
#parkavenue #coronavirus #corona #virus #isolation #COVID19 #emptystreets #emptynyc #nycshutdown #quarantine #quarantinelife #staysafe #covid_19 #stayhome #quedateencasa #staypositive… https://t.co/XWcScKS0EM",New York,36,New York,214454
