,Province_State,Confirmed
0,Alabama,38045
1,Alaska,937
3,Arizona,79228
4,Arkansas,20777
5,California,231232
6,Colorado,32698
7,Connecticut,46514
8,Delaware,11474
10,District of Columbia,10327
11,Florida,152434
12,Georgia,81291
15,Hawaii,917
16,Idaho,6117
17,Illinois,143185
18,Indiana,45594
19,Iowa,29074
20,Kansas,14370
21,Kentucky,15624
22,Louisiana,58095
23,Maine,3253
24,Maryland,67559
25,Massachusetts,108882
26,Michigan,70728
27,Minnesota,36303
28,Mississippi,27247
29,Missouri,21001
30,Montana,967
31,Nebraska,19177
32,Nevada,18456
33,New Hampshire,5782
34,New Jersey,171667
35,New Mexico,12147
36,New York,393454
37,North Carolina,65327
38,North Dakota,3576
40,Ohio,51789
41,Oklahoma,13757
42,Oregon,8656
43,Pennsylvania,91139
45,Rhode Island,16813
46,South Carolina,36399
47,South Dakota,6764
48,Tennessee,43509
49,Texas,163060
50,Utah,22217
51,Vermont,1208
53,Virginia,62787
54,Washington,32824
55,West Virginia,2905
56,Wisconsin,28659
57,Wyoming,1487
