,Province_State,Confirmed
0,Alabama,27312
1,Alaska,695
3,Arizona,40937
4,Arkansas,13606
5,California,162798
6,Colorado,29656
7,Connecticut,45429
8,Delaware,10444
10,District of Columbia,9847
11,Florida,82719
12,Georgia,60030
15,Hawaii,744
16,Idaho,3632
17,Illinois,134185
18,Indiana,41013
19,Iowa,24460
20,Kansas,11644
21,Kentucky,12995
22,Louisiana,48634
23,Maine,2836
24,Maryland,62969
25,Massachusetts,106151
26,Michigan,66497
27,Minnesota,31296
28,Mississippi,20641
29,Missouri,17069
30,Montana,630
31,Nebraska,17231
32,Nevada,11854
33,New Hampshire,5436
34,New Jersey,167703
35,New Mexico,10065
36,New York,385142
37,North Carolina,46934
38,North Dakota,3166
40,Ohio,42422
41,Oklahoma,8904
42,Oregon,6218
43,Pennsylvania,84289
45,Rhode Island,16213
46,South Carolina,20556
47,South Dakota,6050
48,Tennessee,32114
49,Texas,97699
50,Utah,15344
51,Vermont,1130
53,Virginia,55775
54,Washington,26784
55,West Virginia,2376
56,Wisconsin,23456
57,Wyoming,1114
