,tweet,location,Unnamed: 0,Province_State,Confirmed
0,"Keyboard jockey!
I support you / Yo te apoyo.
•
Do you really support me? 
”You are tolerant, you are not racist, you fight for our rights, and you want to change things” Show me!
🔥
#IcantBreathe #Quarentine #Covid19… https://t.co/PgOs2bkGHx",Washington,54,Washington,24354
1,"Ok Eagles... while yes, we had to move graduation to next week due to COVID19, we DO have something special coming at you tomorrow! It's a full 50 min virtual assembly courtesy of AHS Leadership, ASB Leadership, the… https://t.co/Tvs48fg1bF",Washington,54,Washington,24354
2,"You can’t always wear sneakers. Today’s COVID Kicks: wolverineboots 1883 Chukka’s in Light Brown colorway. Have a fantastic Hump Day! 👊🏻 @ Des Moines, Washington https://t.co/RWsliyuy1e",Washington,54,Washington,24354
3,"On Monday, the National Bureau of Economic Research (NBER) announced that the U.S. economy is officially in a recession. This did not come as a surprise to many. Everyone realizes that the pandemic shut down the… https://t.co/2YsACEDd1L",Washington,54,Washington,24354
4,Everyday a new low. https://t.co/yb3sVjUCw3,Washington,54,Washington,24354
5,It will be their new Benghazi. https://t.co/b6SzKXYuAI,Washington,54,Washington,24354
6,"Two weeks ago our COVID ZOOM editorial was published by @vanguardseattle.  I wanted to swing back around and share details of the amazing, mostly one of a kind fashion that was that was leant to me from… https://t.co/YO4lsQYH1k",Washington,54,Washington,24354
7,"The new fashion for work: mask and shield! #stayhome #staysafe #coronavirus #essentialworkers @ Issaquah, Washington https://t.co/U2cCvvqskb",Washington,54,Washington,24354
8,"Sign, sign, everywhere a sign... New signs for a new service model in a new world! #seattle #covid19 #signs #cantinaservice #margaritas #burritos #patio #fivemanelectricalband #becool #besafe #havefun @ Little Water… https://t.co/wWSu5NlNeS",Washington,54,Washington,24354
9,"Fashion Deets.  Up close look at our another look from our Covid /Zoom Shoot.
.
.
Shirt: atelierandrepairs.
Pants: vintage military.
Necklace: vintage chanelofficial.
Vintage Belt Bag + Shoes: personal… https://t.co/VUNgkvBEuL",Washington,54,Washington,24354
10,"Kore and Kendra hate Covid. Love Dill pickle chips. @ Charlestown Waterfront, Boston https://t.co/4iKM2vPlfb",Massachusetts,25,Massachusetts,104156
11,COVID-19 risk reduction with bili-hut™ home phototherapy  https://t.co/R4GSiTK1zW,Massachusetts,25,Massachusetts,104156
12,"My fav place outside Boston-deserted, quiet, such different energy during #covid19 ""New normal"" will bring many changes...an opportunity to create something amazing.  
  #beach #nantasketbeach #tranquility #deserted #socialdistancing #quarantinelife  #photography #minimalism https://t.co/HvnHT18Gdo",Massachusetts,25,Massachusetts,104156
13,"My fav place outside Boston-deserted, quiet, such different energy during #covid19 ""New normal"" will bring many changes...an opportunity to create something amazing.  
  #beach #nantasketbeach #tranquility #deserted #socialdistancing #quarantinelife  #photography #minimalism https://t.co/P7TW1Do5CT",Massachusetts,25,Massachusetts,104156
14,"Up close and personal. To bad you’re not able to smell this beautiful design.🌸
•
Order now and you can have this design in your home or business. You wont be disappointed.
•
🚨Covid 19 Update. Pls Read Below &amp;… https://t.co/FVXzFv3gj3",Massachusetts,25,Massachusetts,104156
15,The Earth will bring humans back together 🌍 From giving us a time out w/ covid to social growing pains w/ global protest ✊🏾She is showing us what to fix that we humans have pooped 💩 it’s clear we must dig our hands… https://t.co/TL5CZICLyJ,Massachusetts,25,Massachusetts,104156
16,"On Monday, the National Bureau of Economic Research (NBER) announced that the U.S. economy is officially in a recession. This did not come as a surprise to many. Everyone realizes that the pandemic shut down the… https://t.co/TlxVfx5bD1",Massachusetts,25,Massachusetts,104156
17,"In the eyes of the public, restaurants are coming back. But on a good day (pre-COVID-19), restaurants operate with a profit margin of 5%. Without access to a patio space, your favorite local spot may not survive with… https://t.co/V71ZRIh6Nd",Massachusetts,25,Massachusetts,104156
18,"Latest incarnation of my pandemic working space minus synths and other horns @ Wakefield, Massachusetts https://t.co/hD0l1hbuKY",Massachusetts,25,Massachusetts,104156
19,"Hockey is back. #homedresser #covid19 #hockey @ Foxborough, Massachusetts https://t.co/UApFCqPxkE",Massachusetts,25,Massachusetts,104156
20,Dining out ( finally!) Covid 19 style! Yay @ O'Hara's Food &amp; Spirits https://t.co/aVTDKMq7wG,Massachusetts,25,Massachusetts,104156
21,"SUPPORT LOCAL RESTAURANTS.
One of the restaurants we were most excited about opening during the pandemic and the food item we looked forward to most was the Fried chicken from bisqcambridge (if you know, you know).… https://t.co/0H6WdmkbWT",Massachusetts,25,Massachusetts,104156
22,"An extremely 2020 picture: beheaded Christopher Columbus statue in front of the hotel where the first super spreader COVID-19 outbreak happened in Boston. @ Boston, Massachusetts https://t.co/xspPHVHoi5",Massachusetts,25,Massachusetts,104156
23,We love Denise. She joined us in 2019 and really has taken charge of her health during this Pandemic. She has been working out with us 4-5 days a week and really has been a great motivator for our “younger” members.… https://t.co/x0XdasIKku,Massachusetts,25,Massachusetts,104156
24,"Tough to think that Corona is claiming Conor Larkin's, the best college bar there ever was.  I think I spent everything I made on co-op on pitchers of Bud Light and wrinkled dollar bills for the jukebox, and I have… https://t.co/GLR2mjha8k",Massachusetts,25,Massachusetts,104156
25,Racial Justice is Essential work. 💯 #racismisavirus #covid19 #pandemic #justiceforgeorgefloyd #justiceforbreonnataylor #justiceforahmaud @ Black Market https://t.co/i5H1ts0Sdt,Massachusetts,25,Massachusetts,104156
26,Help Onyahsa weather the Covid Crisis. We don't have Spiro or Nursie here anymore: https://t.co/yBVoc0eWpi @ YMCA Camp Onyahsa https://t.co/Z6zBSJn2gK,New York,36,New York,380156
27,"The past few months have been extremely busy with New York being the epicenter of the Covid-19 outbreak in the US. Early on, PavLyfe started a fundraiser, which raised nearly $5000. The funds were used to provide… https://t.co/UDwVu7YNwk",New York,36,New York,380156
28,"69redebt69 #selfmodeartz beyonce fettylucianogs9 #namastebitches @Photo_Grid_ ninetysixredd famousdex #blacklivesmatter #covid19 #vogue #voguemagazine @ New York, New York https://t.co/CdeuwYXbGy",New York,36,New York,380156
29,"Finally ready to share Siena’s Story on how she entered the world during the height of a pandemic in NYC 👶🏼 
Birthing alone had never been part of our plan, but God had bigger plans that day for our little… https://t.co/ihYYpX6dnR",New York,36,New York,380156
30,"What has happened to L and D in this corona virus crisis?  https://t.co/3FgegQ0Bii  Learning and development is important and mustn't be a casualty of covid-19. Rather, it is essential to our recovery at work.",New York,36,New York,380156
31,"I'm just gonna leave this right here.

#coronavirüs #COVID19 #itanitover @ New York, New York https://t.co/b7s9M09bwb",New York,36,New York,380156
32,"Covid-19 or not — the missing link in public policy response is to account for heterogeneity, resistance and care  https://t.co/NgargM2NVa",New York,36,New York,380156
33,New normal  #Covid19 #CoronaVirus #covid192020 #2020 #socialdistancing #socialdistancing2020 #newnormal #newnormal2020 #newnormallife #subway #mta #mtasubway #7line #7train #7trainnyc #essentialworkers @ Times… https://t.co/ibXNGgfFLY,New York,36,New York,380156
34,"So this is a #causeandeffect effect video: 
I have been even more motivated to build up my strength in wake of the #covid and  #georgefloyd killing. I will not just lay down with out a fight ... ever I encourage all… https://t.co/WQPxolYD6i",New York,36,New York,380156
35,"Happy Hump Day! 🥂

One bright side to COVID is that more restaurants are doing patio and street side dining. 🍷

It is something that is the norm in Europe, I ended up falling in love with it when I was in France,… https://t.co/XXjz3YhMXZ",New York,36,New York,380156
36,"On Monday, the National Bureau of Economic Research (NBER) announced that the U.S. economy is officially in a recession. This did not come as a surprise to many. Everyone realizes that the pandemic shut down the… https://t.co/toSvxBH8Wu",New York,36,New York,380156
37,Corona NY Wed Jun 10th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York,36,New York,380156
38,Online Shopping Isn't What It Used To Be Since COVID-19   https://t.co/DF8uA7ptOo,New York,36,New York,380156
39,Online Shopping Isn't What It Used To Be Since COVID-19   https://t.co/7MNGfSeFc8,New York,36,New York,380156
40,"Happy #wednesday 💼 👩‍💼
Re-opening is far from easy but launching the new wellness product you've put on hold due to COVID-19 will require some strategic thinking &amp; some ""free"" tips to help your planning process.… https://t.co/trRxBoEs92",New York,36,New York,380156
41,"Thank you to all #EssentialWorkers who continue to fight on the frontlines. Repost secret_nyc 
・・・
This massive mural was painted in Flushing, Queens as a tribute to all those lost during the pandemic, and to… https://t.co/sTu0E33iJm",New York,36,New York,380156
42,"Reminiscing on the best holiday I’ve been on, where Luke decided he wanted to be with me forever. 💍

Thanks to covid, the next holiday we book will be our honeymoon, (eeek!) and so I’m very glad my bestie… https://t.co/GK0q7LZEF9",New York,36,New York,380156
43,"#Brooklyn, #NewYorkers come to the Key to Heaven Tabernacle at 1102 Blake Ave 11208 to get your FREE #Covid-19 antibody testing today 6/10!!! Share and RT!! 

#northwelllife #northwellhealth #covid19 #antibodytest… https://t.co/14N4BbrSyz",New York,36,New York,380156
44,"Riding the R train to Manhattan for the first time since Covid, I was so shocked to see how empty the train was. #wow #nyc  #midtown @ Herald Square https://t.co/3FD7xMQPXf",New York,36,New York,380156
45,Yikes https://t.co/JZ73B0F0PJ,New York,36,New York,380156
46,"Outstanding Individuals Create Outstanding Communities

Operation COVID-19 Garment Revival proudly supports @thebristal at East Meadow Assisted Living and their dedicated staff. We donated 600 face masks to… https://t.co/tyE2PyxPpX",New York,36,New York,380156
47,"New blog post up! Link in the bio! I summarized all the pros and cons from my experience as a travel nurse in NYC during this pandemic. For those who are considering going into travel nursing, I hope this helps you… https://t.co/7FrOKwlAYI",New York,36,New York,380156
48,"Florida's Rising COVID-19 Numbers: What Do They Mean? : Coronavirus Live Updates : NPR
https://t.co/nvR0eqai0g",New York,36,New York,380156
49,"Sign of the Times. A brief respite at the Harlem Meer, Central Park. 
.
#harlemmeer #harlemmeerlake #nature #naturephotography #sierraphotonycpix #6feetapart #covid19 #covidstoriesnyc #respite #pandemic #pandemic2020… https://t.co/lC5tZDIalZ",New York,36,New York,380156
50,We have officially entered Phase 1 of the reopening of NYC! Barbershops are not open as of yet. Barbershops in NYC will reopen in Phase 2 All of our barbers &amp; braid specialist are Covid-19 certified by @chardujardin… https://t.co/f92wE8PcQw,New York,36,New York,380156
51,"Who needs a #job? 

#NYC #factory in #SouthWilliamsburg off the #GTrain needs #workers!  Will train, starting next week, earning $15-18/hour, #COVID19-safe, full-time! 

#PeopleHiringPeople
#AltruismForTheWin… https://t.co/y8dr1d3WnA",New York,36,New York,380156
52,New Cover💙 @LampoonPH with alexandrajacob I shout this story in early this year February. We have never expected this war of Covid19 would take over the world life. It was prediction gown to shoot this pic with… https://t.co/nI8Al3A2ZO,New York,36,New York,380156
