,0
0,0.4583333333333334
1,0.0
2,0.8
3,0.1
4,0.03333333333333333
5,0.25
6,0.012500000000000022
7,0.0
8,0.15625
9,0.0
10,0.5
11,0.0
12,0.0
13,0.8
14,0.05
15,0.1875
16,0.05
17,0.8
18,0.0
19,0.05
20,0.4666666666666667
21,0.1
22,0.0
23,0.4375
24,0.32125000000000004
25,0.0
26,0.375
27,0.43333333333333335
28,0.0
29,0.4
30,0.0
31,0.0
32,0.35
33,0.5
34,0.4
35,0.16818181818181818
36,-0.06666666666666668
37,0.6499999999999999
38,-0.06666666666666668
39,-0.06666666666666668
40,0.0
41,-0.06666666666666668
42,0.0
43,-0.06666666666666668
44,0.05000000000000002
45,0.05000000000000002
46,-0.06666666666666668
47,0.669047619047619
48,-0.1
49,-0.06666666666666668
50,-0.06666666666666668
51,0.30000000000000004
52,0.5
53,-0.06666666666666668
54,-0.06666666666666668
55,0.0
56,-0.06666666666666668
57,-0.06666666666666668
58,0.04583333333333334
59,0.05
60,-0.06666666666666668
61,-0.06666666666666668
62,-0.1
63,-0.06666666666666668
64,-0.1
65,0.5
66,-0.06666666666666668
67,-0.06666666666666668
68,0.16666666666666669
69,-0.1
70,-0.06666666666666668
71,-0.06666666666666668
72,0.0
73,0.6
74,0.25
75,0.0
76,0.7166666666666667
77,-0.06666666666666668
78,0.0
79,0.0
80,1.0
81,0.675
82,0.8
83,0.0
84,0.2
85,0.16
86,0.0
87,0.3145833333333333
88,1.0
89,0.43333333333333335
90,0.05
91,0.07878787878787878
92,0.3125
93,0.7
94,0.0
95,0.0
96,0.5
97,0.32611111111111113
98,0.0
99,0.9765625
100,0.0
101,0.17045454545454544
102,0.5
103,0.041666666666666664
104,0.10727272727272727
105,-0.3
106,0.23454545454545456
107,-0.1
108,0.0
109,1.0
110,0.5
111,0.0
112,0.1611111111111111
113,0.109375
114,0.0
115,0.3666666666666667
116,0.6785714285714286
117,0.5
118,0.3333333333333333
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.13095238095238096
126,-0.06851851851851852
127,0.2333333333333333
128,0.0
129,0.15500000000000005
130,0.5
131,-0.1
132,0.125
133,0.3928571428571429
134,0.325
135,0.3
136,0.8
137,0.4666666666666666
138,0.5
139,-0.07291666666666666
140,0.5166666666666666
141,0.5
142,-0.2430555555555556
