,Province_State,Confirmed
0,Alabama,15650
1,Alaska,410
3,Arizona,16864
4,Arkansas,6180
5,California,99387
6,Colorado,24552
7,Connecticut,41303
8,Delaware,9066
10,District of Columbia,8334
11,Florida,52255
12,Georgia,43983
15,Hawaii,643
16,Idaho,2626
17,Illinois,113195
18,Indiana,32078
19,Iowa,17703
20,Kansas,9199
21,Kentucky,8951
22,Louisiana,38054
23,Maine,2109
24,Maryland,47687
25,Massachusetts,93693
26,Michigan,55104
27,Minnesota,21960
28,Mississippi,13731
29,Missouri,12579
30,Montana,479
31,Nebraska,12619
32,Nevada,8057
33,New Hampshire,4231
34,New Jersey,155764
35,New Mexico,7130
36,New York,363836
37,North Carolina,24455
38,North Dakota,2422
40,Ohio,33006
41,Oklahoma,6138
42,Oregon,3967
43,Pennsylvania,72778
45,Rhode Island,14210
46,South Carolina,10416
47,South Dakota,4653
48,Tennessee,20895
49,Texas,57230
50,Utah,8620
51,Vermont,967
53,Virginia,39342
54,Washington,20181
55,West Virginia,1774
56,Wisconsin,15863
57,Wyoming,850
