,tweet,location,Unnamed: 0,Province_State,Confirmed
0,"Updated 8:22 p.m. ET President Trump on Friday said states are well equipped to adequately test for COVID-19, a position that has been contradicted by https://t.co/zXGMz4r0kv #atx #austin #all512",Texas,49,Texas,19260
1,"I am focused on seeing the wonders of the world,not being trapped by COVID-19 https://t.co/Jrcnow8I4d",Texas,49,Texas,19260
2,"APRIL 19, 2020 COVID-19 TIMES @ Grand Prairie, Texas https://t.co/rkktKkcTMn",Texas,49,Texas,19260
3,"Second  round of the Covid-19 tour complete. Sponsored by Lysol and Charmin. #golfdallas @ Richardson, Texas https://t.co/LnALHV52kI",Texas,49,Texas,19260
4,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome ! https://t.co/aGqt3i5lA9,New York,36,New York,247815
5,"I agree  @Lesdoggg   !   #covid @ New York, New York https://t.co/G6JBniKvju",New York,36,New York,247815
6,Corona NY Sun Apr 19th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York,36,New York,247815
7,Covid-19  https://t.co/sKCJS9LqMr,New York,36,New York,247815
8,"Hello INmates from duh Department Of Corona. @ Brooklyn, New York https://t.co/Zk7uzdhyTz",New York,36,New York,247815
9,We think nygovcuomo is right! #coronabarbershopplus #wherehairmeetsstyle #thelineupinc #thelineupnyc #covid19 #coronavirus #quarantine #pause #nyc #nycbarber #lockdown @ Corona Barbershop Plus https://t.co/CcgGhf8Mlb,New York,36,New York,247815
10,"COVID-19 update @ New York, New York https://t.co/HeTOXreMdC",New York,36,New York,247815
11,"#coronaready #covid19 #coronavirus #community #standwithhealthworkers @ Yonkers, New York https://t.co/pNRkwbQ0tG",New York,36,New York,247815
12,In the middle of Mercer. #soho #empty #fanellicafe #princestreet #mercer #cobblestones #notraffic #empty #emptystreets #quiet #covid #coronavirus #lockdown #manhattan #nyc @ Mercer Street https://t.co/J7fhLbYPQ5,New York,36,New York,247815
13,"The Show Time must go on. #covid19 #quarantine #nycsubway #shotoniphone @ New York, New York https://t.co/PKRsJ82Hrz",New York,36,New York,247815
14,Living my BEST LIFE in spite of COVID-19  https://t.co/xs86x6rjWf,New York,36,New York,247815
15,"Covid Relief.  Thanks northendtavern !!!
#adultcaprisun #margaritainabag #supportsmallbusiness #supportlocalrestaurants #net #northendtavern #eggplantnapoleon @ New Rochelle, New York https://t.co/enUVIPR1S9",New York,36,New York,247815
16,"#clapbecausewecare #clapbecausewecarenyc #essentialworkers #healthcareworkers #queens #newyorkcity #newyork #covid_19 #coronavirus @ Queens, New York https://t.co/axksANFVcc",New York,36,New York,247815
17,"PN1 finally complete!!!! #bebetter #quarantinecollege #CORONAVIRUS #precisionnutrition #coach #selfdevelopment #rkc #fms #dotfit #cfsc @ El Barrio, East Harlem, New York https://t.co/XMQTBb2ew2",New York,36,New York,247815
18,"More like COVID-Nahteen amirite? @biglohiphop @ Albany, New York https://t.co/x06028viwA",New York,36,New York,247815
19,"After our family walk in #Albany's glorious #WashingtonPark today, Sierra and I made donuts for the 1st time ever,  because #COVID. @ Albany, New York https://t.co/SP2OYI10Uv",New York,36,New York,247815
20,Artificially Intelligent Podcast: Covid-19 Location Data and More  https://t.co/VoXsnPvTcm,New York,36,New York,247815
21,"Spring Covid 19 @ Riverside Park, Upper West Side, Manhattan https://t.co/mSYpBTxmSh",New York,36,New York,247815
22,"COVID-19 update @ New York, New York https://t.co/IGpY9SZgtL",New York,36,New York,247815
23,"Trees, Flushing Meadows-Corona Park #trees #flushingmeadowscoronapark #nofilter #unedited #canon77d #canonphotography #canonphotographer #24mm70mmf4 flushingmeadowscoronapark coronapark @ Flushing Meadows - Corona Park https://t.co/KGeQe9N83Q",New York,36,New York,247815
24,"COVID-19 update 
For all employees and you're taking public transportation MTA BUS Subway NJ transit PATH LIRR MetroNorth  Face mask required @ Gristedes Supermarkets #059 https://t.co/xfr42DVqIN",New York,36,New York,247815
25,"Keeping it safe with my boy @KennethLion at @thecomedystore time to go back to my trailer and meditate #covid #comedy #quarantine @ West Hollywood, California https://t.co/maIJa7bxgm",California,5,California,31431
26,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome ! https://t.co/NBWObw1l0D,California,5,California,31431
27,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome ! https://t.co/MgBcaiQMfk,California,5,California,31431
28,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome ! https://t.co/4aQcExF0ON,California,5,California,31431
29,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome ! https://t.co/baOTn95KJ4,California,5,California,31431
30,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome ! https://t.co/HoiqUFHAXo,California,5,California,31431
31,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome ! https://t.co/T2blfFxPR4,California,5,California,31431
32,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome ! https://t.co/xnymEnn7CY,California,5,California,31431
33,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome ! https://t.co/fQOETS4qKv,California,5,California,31431
34,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome ! https://t.co/joA4DklaqK,California,5,California,31431
35,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv6pEG3 #TogetherAtHome ! https://t.co/9s7b433etU,California,5,California,31431
36,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #TogetherAtHome ! https://t.co/xtk2z0qPeu,California,5,California,31431
37,I challenge you to ?#SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #TogetherAtHome ! https://t.co/eGWVK6Es0s,California,5,California,31431
38,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #TogetherAtHome ! https://t.co/Qwr7p5XYaX,California,5,California,31431
39,"When #covid is your #filter. @ Woodside, Sacramento https://t.co/1vxWVD3F9H",California,5,California,31431
40,"Saturday night fun with mar_isanchez. Thanks azlotusart. Song by @BishopLamont @scoopdeville and @therealryu @ Corona, California https://t.co/7F0rR6ShWL",California,5,California,31431
41,"I wrote this when I was a teenager.
I was seriously pissed.
I wrote the track / melody years later.
There is one more I was just as serious as Covid-19 on that to. @ Paso Robles, California https://t.co/8K4LIr8GN1",California,5,California,31431
42,Corona CA Sun Apr 19th AM Forecast: TODAY Patchy Fog Hi 68 TONIGHT Chance Of Showers Lo 49,California,5,California,31431
