,Province_State,Confirmed
0,Alabama,4888
1,Alaska,319
3,Arizona,4933
4,Arkansas,1781
5,California,31431
6,Colorado,9730
7,Connecticut,17962
8,Delaware,2538
10,District of Columbia,2793
11,Florida,26314
12,Georgia,18301
15,Hawaii,580
16,Idaho,1668
17,Illinois,30357
18,Indiana,11211
19,Iowa,2902
20,Kansas,1905
21,Kentucky,2960
22,Louisiana,23928
23,Maine,867
24,Maryland,12847
25,Massachusetts,38077
26,Michigan,31424
27,Minnesota,2356
28,Mississippi,4274
29,Missouri,5743
30,Montana,433
31,Nebraska,1474
32,Nevada,3728
33,New Hampshire,1390
34,New Jersey,85301
35,New Mexico,1845
36,New York,247815
37,North Carolina,6601
38,North Dakota,585
40,Ohio,11602
41,Oklahoma,2567
42,Oregon,1910
43,Pennsylvania,32902
45,Rhode Island,4706
46,South Carolina,4377
47,South Dakota,1635
48,Tennessee,7070
49,Texas,19260
50,Utah,3069
51,Vermont,813
53,Virginia,8542
54,Washington,12255
55,West Virginia,890
56,Wisconsin,4346
57,Wyoming,313
