,Province_State,Confirmed
0,Alabama,4075
1,Alaska,293
3,Arizona,3964
4,Arkansas,1569
5,California,26686
6,Colorado,7956
7,Connecticut,14755
8,Delaware,2014
10,District of Columbia,2197
11,Florida,22511
12,Georgia,14987
15,Hawaii,524
16,Idaho,1473
17,Illinois,24593
18,Indiana,8960
19,Iowa,1995
20,Kansas,1504
21,Kentucky,2210
22,Louisiana,21951
23,Maine,770
24,Maryland,10032
25,Massachusetts,29918
26,Michigan,28059
27,Minnesota,1809
28,Mississippi,3360
29,Missouri,4791
30,Montana,404
31,Nebraska,901
32,Nevada,3211
33,New Hampshire,1139
34,New Jersey,71030
35,New Mexico,1484
36,New York,214454
37,North Carolina,5340
38,North Dakota,365
40,Ohio,7794
41,Oklahoma,2263
42,Oregon,1663
43,Pennsylvania,26753
45,Rhode Island,3251
46,South Carolina,3656
47,South Dakota,1168
48,Tennessee,5827
49,Texas,15907
50,Utah,2548
51,Vermont,759
53,Virginia,6500
54,Washington,10942
55,West Virginia,702
56,Wisconsin,3721
57,Wyoming,287
