,tweet,location,Unnamed: 0,Province_State,Confirmed
0,"Nearing 100000 
.
.
#muntzman #covid19 #covid #coronavirus #stayhome #nytimes  #peace #love #hope #future #pandemic #100000 @ New York, New York https://t.co/ORmqJxfcuZ",New York,36,New York,362764
1,"COVID-19 update @ Queens, New York https://t.co/89MzG9cz2k",New York,36,New York,362764
2,This #halfterm we've curated some of the most prescient &amp; thought-provoking pieces of #philosophy we wrote BEFORE #Covid19 - MAY HALF TERM 2020 -   https://t.co/EUmHC24kiQ,New York,36,New York,362764
3,Coronavirus | Stay At Home Outdoor Family Photos  https://t.co/Hnmk1ElMYt,New York,36,New York,362764
4,"#russia #covid19 by #globalchristiandom   #tvwriting #writing #screenwriting #amwriting #scriptnotes #gratitudefornyc @ Strawberry Fields, John Lennon Memorial, New York City https://t.co/jRXEIOE2qD",New York,36,New York,362764
5,"Throwback memories.
#travelsalacarte #byRainnaGoel #Rainnagoel #nyc #sunsetparis #coronavirus #corona #solotravel #covid19 #newyork #manhattan #pandemic @ New York, New York https://t.co/XdULyLq7Ih",New York,36,New York,362764
6,"The coronavirus pandemic has already had a large effect on the Super League, with the value of the championship having decreased by more than 50 million euros. #SLGR  https://t.co/TgKpQWjdbz",New York,36,New York,362764
7,"COVID 19, Mask etiquette and do we really have a President?  https://t.co/qJ7DnHau3E",New York,36,New York,362764
8,"COVID 19, Mask etiquette and do we really have a President?  https://t.co/joDN3P08US",New York,36,New York,362764
9,"#meditation 
#poem
#meditationsonnet
#meditationpoem
#covid19 
#covid19sonnet
#faith @ 48Th Avenue Stairs https://t.co/J7pxt1O22H",New York,36,New York,362764
10,"Westchester County COVID Cases as of 5/22 #staysafe #stayhome  Phase 1 reopen on Tuesday @ Hartsdale, New York https://t.co/WDATSRZlfF",New York,36,New York,362764
11,"Happy Holiday or whatever. 
.
.
#3DayWeekend
#HappyMemorialDay
#MemorialDay
#MemeorialDay
#MemorialDayWeekend
#Quarantine
#QuarantineMemes
#CoronaVirus
#CoronaVirusMemes
#Covid_19
#Covid_19Memes @ Whiskey HQ https://t.co/aN4MptbCBi",New York,36,New York,362764
12,Corona NY Mon May 25th AM Forecast: TODAY Mostly Cloudy Hi 45 TONIGHT Partly Cloudy Lo 31,New York,36,New York,362764
13,Looking down at a virtually empty Park Avenue from above during this Covid19 pandemic. @ Park Ave Manhattan NYC https://t.co/OZOEiSJ43c,New York,36,New York,362764
14,"WMATA announces 100 Confirmed cases, 2 In hospital and 52 Returned to work   https://t.co/zeZKOndLho",New York,36,New York,362764
15,Staten islanders are trash by default. RT @McauleyHolmes: Staten Islanders with masks drive out non-mask wearing person in grocery store. #Coronavirus https://t.co/hQtAMXogGL,New York,36,New York,362764
16,"Have a great Memorial Day. Hope you had a good holiday. Now, back to work. #insurance #retaliation  @nychra #covidexcusesareover #covid19 #praxishousinginitiatives @NYPDnews #thankyou @ Hotel Barbour https://t.co/DxC9YGD1Z1",New York,36,New York,362764
17,"Corona hair. This guy earned his fuzzy, scotch tape and all. We will be live drawing together today at 5pm ET right here on #IGTV #pandemic #lizadraws @ Milan, New York https://t.co/c77WeFMGvh",New York,36,New York,362764
18,"My world (back at home, inside), adding a subtle third dimension. #coronavirus #covid #covid19 #sequester #coronaviruspandemic @ Upper East Side https://t.co/bVm12z2Tg2",New York,36,New York,362764
19,"COVID-19 update @ New York, New York https://t.co/yRMXYvn2aD",New York,36,New York,362764
20,"#MTA #apocalypse #CoronaVirus #SafetyFirst #PublicTransportation nycmta @ Bay Ridge, Brooklyn https://t.co/c3pbE9uZ2S",New York,36,New York,362764
