,Province_State,Confirmed
0,Alabama,3563
1,Alaska,272
3,Arizona,3542
4,Arkansas,1280
5,California,22795
6,Colorado,7307
7,Connecticut,12035
8,Delaware,1625
10,District of Columbia,1875
11,Florida,19895
12,Georgia,12452
15,Hawaii,499
16,Idaho,1407
17,Illinois,20852
18,Indiana,7928
19,Iowa,1587
20,Kansas,1344
21,Kentucky,1963
22,Louisiana,20595
23,Maine,633
24,Maryland,8225
25,Massachusetts,25475
26,Michigan,24244
27,Minnesota,1621
28,Mississippi,2781
29,Missouri,4269
30,Montana,387
31,Nebraska,791
32,Nevada,2836
33,New Hampshire,929
34,New Jersey,61850
35,New Mexico,1245
36,New York,189033
37,North Carolina,4570
38,North Dakota,308
39,Ohio,6604
40,Oklahoma,1970
41,Oregon,1527
42,Pennsylvania,22938
44,Rhode Island,2665
45,South Carolina,3320
46,South Dakota,730
47,Tennessee,5508
48,Texas,13677
49,Utah,2303
50,Vermont,727
51,Virginia,5274
52,Washington,10609
53,West Virginia,593
54,Wisconsin,3341
55,Wyoming,270
