2020-04-12,189033
2020-04-13,195749
2020-04-14,203020
2020-04-15,214454
2020-04-16,223691
2020-04-17,230597
2020-04-18,241712
2020-04-19,247815
2020-04-20,253060
2020-04-21,258361
2020-04-22,263292
2020-04-23,263460
2020-04-24,271590
2020-04-25,282143
2020-04-26,288045
2020-04-27,291996
2020-04-28,295106
2020-04-29,299691
2020-04-30,304372
2020-05-01,308314
2020-05-02,312977
2020-05-03,316415
2020-05-04,318953
2020-05-05,321192
2020-05-06,323978
2020-05-07,327469
2020-05-08,330407
2020-05-09,333122
2020-05-10,335395
2020-05-11,337055
2020-05-12,338485
2020-05-13,340661
2020-05-14,343051
2020-05-15,345813
2020-05-16,348232
2020-05-17,350121
2020-05-18,351371
2020-05-19,352845
2020-05-20,354370
2020-05-21,356458
2020-05-22,358154
2020-05-23,359926
2020-05-24,361515
2020-05-25,362764
2020-05-26,363836
2020-05-27,364965
2020-05-28,366733
2020-05-29,368284
2020-05-30,369660
2020-05-31,370770
2020-06-01,371711
2020-06-02,373040
2020-06-03,374085
2020-06-04,375133
2020-06-05,376208
2020-06-06,377316
2020-06-07,378097
2020-06-08,378799
2020-06-09,379482
2020-06-10,380156
2020-06-11,380892
2020-06-12,381714
2020-06-13,382630
2020-06-14,383324
2020-06-15,383944
2020-06-16,384575
2020-06-17,385142
2020-06-18,385760
2020-06-19,386556
2020-06-20,387272
2020-06-21,387936
2020-06-22,388488
2020-06-23,389085
2020-06-24,389666
2020-06-25,390415
2020-06-26,391220
2020-06-27,391923
2020-06-28,392539
2020-06-29,393403
2020-06-30,393454
2020-07-01,394079
2020-07-02,394954
2020-07-03,395872
2020-07-04,396598
2020-07-05,397131
2020-07-06,397649
2020-07-07,398237
2020-07-08,398929
2020-07-09,399513
2020-07-10,400299
2020-07-11,401029
2020-07-12,401706
2020-07-13,402263
