,Province_State,Confirmed
0,Alabama,6421
1,Alaska,340
3,Arizona,6534
4,Arkansas,3001
5,California,43558
6,Colorado,13441
7,Connecticut,25269
8,Delaware,4034
10,District of Columbia,3841
11,Florida,31532
12,Georgia,23486
15,Hawaii,606
16,Idaho,1897
17,Illinois,43903
18,Indiana,15012
19,Iowa,5476
20,Kansas,3277
21,Kentucky,4085
22,Louisiana,26773
23,Maine,1015
24,Maryland,18581
25,Massachusetts,54938
26,Michigan,37778
27,Minnesota,3602
28,Mississippi,5911
29,Missouri,7120
30,Montana,448
31,Nebraska,3028
32,Nevada,4734
33,New Hampshire,1864
34,New Jersey,109038
35,New Mexico,2726
36,New York,288045
37,North Carolina,8997
38,North Dakota,867
40,Ohio,15972
41,Oklahoma,3254
42,Oregon,2311
43,Pennsylvania,42616
45,Rhode Island,7439
46,South Carolina,5498
47,South Dakota,2212
48,Tennessee,9667
49,Texas,24967
50,Utah,4123
51,Vermont,851
53,Virginia,12970
54,Washington,13521
55,West Virginia,1055
56,Wisconsin,5912
57,Wyoming,502
