tweet,location
Playlist link in my Bio!! When times get tough I’ve learned to seek God and cry out to him and to cast all of my worries and fears onto the Lord.  Remember God is above all and yes God is above the Corona Virus.… https://t.co/8IkCt45mv5,California
"Fall colors. Fall feelin’ kind of day. #alldressapril #alldressapril2020 #covid #covid2020 #timesawastin @ Queen Anne, Seattle https://t.co/9ZKFCcxYK1",Washington
"Find the number of coronavirus cases in your city or county https://t.co/YMh7w0aBEZ

Donate to these IT boys some bubble tea (at the bottom of the page) so they will keep the site running. https://t.co/QtOTBQqPat",Washington
"#ramadan #kareem #ramadan2020 #Covid-19 #coronavirus2020 @ Herndon, Virginia https://t.co/c1aLaUMMqX",Virginia
"#ramadan #kareem #ramadan2020 #Covid-19 #coronavirus2020 @ Herndon, Virginia https://t.co/q8j5lOXoUx",Virginia
What a great week - even in the struggle our God is always good! This was my Corona look while feeding families and loving on our micro #genteam yesterday. The wall wasn't there but our awesome social media team… https://t.co/guRPMF52W5,Pennsylvania
"#ramadan #kareem #ramadan2020 #Covid-19 #coronavirus2020 @ Fairfax County, Virginia https://t.co/0BA9e8wgc9",Virginia
"#ramadan #kareem #ramadan2020 #Covid-19 #coronavirus2020 @ Herndon, Virginia https://t.co/p94uklA6vm",Virginia
"#ramadan #kareem #ramadan2020 #Covid-19 #coronavirus2020 @ Fairfax County, Virginia https://t.co/ZF1bn11Vwx",Virginia
"#ramadan #kareem #ramadan2020 #Covid-19 #coronavirus2020 @ Fairfax County, Virginia https://t.co/UBPg1TX2DY",Virginia
"#ramadan #kareem #ramadan2020 #Covid-19 #coronavirus2020 @ Fairfax County, Virginia https://t.co/uTIVpi7ZUq",Virginia
"I got it! You want it! It only take seconds to kill COVID-19....... @ New Orleans, Louisiana https://t.co/FQpyUyNXRw",Louisiana
"Sharing this #tbt pic of my senior year when I joined choir, in honor of a fundraiser for Boys &amp; Girls Clubs of America! 
gopuff is donating $5 to the Boys &amp; Girls Clubs of America COVID-19 Relief Fund for every… https://t.co/UdsvmORHNo",Arizona
"Deserted Main Street, Memphis weekday. #covid19 @ Downtown Memphis https://t.co/pSiANWj60R",Tennessee
"Practicing safe and social distancing on Hollywood nature hike  during Covid-19 pandemic. #covidfashion #castillodellago #hollywoodland #hollywoodsign #lakehollywood #hollywoodreservoir 
#mulhollandhwy #johnlautner… https://t.co/Yh5neWxBIi",California
"I guess these ‘Rona masks are a fashion statement now. 
#corona #quarantine @ Southwood Valley, College Station, Texas https://t.co/Z7toBMhJSk",Texas
"Covid 2020 session  📷 ronin.187 @ San Antonio, Texas https://t.co/0SCXfnm2xr",Texas
"#Coed-19....Say Maan Y’all Go Grab One Of These Bad Boyz Frfr...My Nigga Got Da Vaccine 2 Go Wid It #OnHitta🎯 
Repost from rookie_nopen5
•
My niggas came got that coronavirus mixtape 💨💨💨💨💯💯💯 @ Sunnyside check-a-hoe tx https://t.co/BrpAEFC74g",Texas
"OLYMPIC Champion @Jeffery_henders WILL ALWAYS FIND HIS WAY TO THE  TOP Podium....REGARDLESS  COVID-19. Stay safe, Stay healthy..#the_golden_mindset #aljoynergoldwords #AlJoynerTokyo2021 @ San Elijo Hills, San… https://t.co/3mAgVBHe94",California
"COVID-19 update 
Stress from an employer and my landlord made me put the wrong information in @ Queens, New York https://t.co/rGlqBI4dEp",New York
"Due to the Covid-19 Pandemic, The Fat Gator Music Festival is currently being rescheduled! All tickets will be honored on the new date. You will be notified first when a date is set and our site and ticket links will… https://t.co/jI5TsnxGWX",Texas
GREAT NEWS ➡️ Our team will donating hundreds of TuBLOOM grow kits complete with plants 🌱🌺 &amp; tools ⚒✂️ to first responders and  organizations/communities impacted by covid19 😍 stay tune for more info! Operation… https://t.co/U8E5y2W7Xc,Illinois
Schools and activities have been cancelled because of COVID 19... but that doesn’t mean that we cannot celebrate our children’s great accomplishments...#yardsigns #captoppers #gradfans #graduationseason #classof2020… https://t.co/gOnAC1QzjU,North Carolina
🦠COVID-19 Update/Reminder: Our doors remain open but we are still taking precautions in regards to the current pandemic. We ask that you assist us in following current mandates. Our business is classified as… https://t.co/UCWq2JHB8U,Alaska
"Coronavirus dies in SUNLIGHT in just minutes, reveals 'striking' study by US Department of Homeland Security - and officials say transmission of the killer virus WILL decrease in summer

The new coronavirus is… https://t.co/7mXpJNEiSw",Maryland
