2020-04-12,22795
2020-04-13,23931
2020-04-14,25356
2020-04-15,26686
2020-04-16,27677
2020-04-17,29157
2020-04-18,30491
2020-04-19,31431
2020-04-20,33686
2020-04-21,35465
2020-04-22,37344
2020-04-23,39561
2020-04-24,41355
2020-04-25,42368
2020-04-26,43558
2020-04-27,44966
2020-04-28,46164
2020-04-29,48747
2020-04-30,50130
2020-05-01,52026
2020-05-02,53347
2020-05-03,54903
2020-05-04,55884
2020-05-05,58456
2020-05-06,60616
2020-05-07,62148
2020-05-08,63779
2020-05-09,66558
2020-05-10,67600
2020-05-11,69329
2020-05-12,70978
2020-05-13,72798
2020-05-14,74871
2020-05-15,76693
2020-05-16,78725
2020-05-17,80166
2020-05-18,81457
2020-05-19,83752
2020-05-20,85997
2020-05-21,88031
2020-05-22,90252
2020-05-23,92539
2020-05-24,94020
2020-05-25,96400
2020-05-26,99387
2020-05-27,101050
2020-05-28,103813
2020-05-29,106622
2020-05-30,109895
2020-05-31,111951
2020-06-01,114733
2020-06-02,117215
2020-06-03,119348
2020-06-04,122168
2020-06-05,125738
2020-06-06,128593
2020-06-07,130615
2020-06-08,133816
2020-06-09,136641
2020-06-10,139715
2020-06-11,143377
2020-06-12,146659
2020-06-13,150018
2020-06-14,152300
2020-06-15,155726
2020-06-16,158961
2020-06-17,162798
2020-06-18,167086
2020-06-19,170862
2020-06-20,175213
2020-06-21,178546
2020-06-22,184765
2020-06-23,191477
2020-06-24,195925
2020-06-25,201112
2020-06-26,206844
2020-06-27,210584
2020-06-28,215296
2020-06-29,223646
2020-06-30,231232
2020-07-01,238681
2020-07-02,246550
2020-07-03,250514
2020-07-04,252895
2020-07-05,264681
2020-07-06,271035
2020-07-07,284012
2020-07-08,292560
2020-07-09,302484
2020-07-10,310885
2020-07-11,318761
2020-07-12,324543
2020-07-13,333357
