,tweet,location,Unnamed: 0,Province_State,Confirmed
0,Chanel inspired cotton mask $55. Message us to order! #designermasks #facemask #fabricmask #covid19 #chanel @ Polished Nail Salon https://t.co/EParchCdWE,Oklahoma,41,Oklahoma,5680
1,"Margaritaville and smoothmoon strawberry banana apple cinnamon spicey own Corona killer sanitizer in and OUT @ Okmulgee, Oklahoma https://t.co/qx8YeqHq05",Oklahoma,41,Oklahoma,5680
2,"Grocery shopping today in 2020. 
:
:
#AidenKai #Covid19 #SocialDistancing @ Greer's Cash Saver https://t.co/t41KNKqE9b",Alabama,0,Alabama,13288
3,"Quarantined Time!  #quarantined #covid19 #puzzle #took9days #pittsburghpenguins #ilovehockey #imisshockey @penguins @pensfoundation @ Pittsburgh, Pennsylvania https://t.co/FAiELR9k6L",Pennsylvania,43,Pennsylvania,69252
4,"Wondering how things have been going at Montco SAAC during COVID-19? Montco SAAC's Executive Director, Whitney Lingle, will keep you you in the loop! @ Montgomery County, Pennsylvania https://t.co/vRhUf4Thl3",Pennsylvania,43,Pennsylvania,69252
5,"Happy 96 Birthday Mom in the year of the Covid! #birthday #mom #96 #covid @ Blue Bell, Pennsylvania https://t.co/Wt7mVtTJR2",Pennsylvania,43,Pennsylvania,69252
6,Look at the flowers..... Walking Dead fan friends will get that reference! #cheflife #chefsofinstagram #coronavirus @ Steam Pub https://t.co/l9EPcXC2hy,Pennsylvania,43,Pennsylvania,69252
7,When they extend the stay at home order another week...  #covid19 #stayhome #grittyislove @ Triangle Tavern https://t.co/pcnj0Cd1Op,Pennsylvania,43,Pennsylvania,69252
8,"more lil' 'love notes of encouragement' going out
#laminated 
Thinking of you Nanas and PopPops #dearhearts 
#covid19 
#timeisofessence @ 19144 https://t.co/0REi9wgbY3",Pennsylvania,43,Pennsylvania,69252
9,"Therapy...COVID19 style

#MiracleMari #ChildrensHospitalOfPhiladelphia #CHOPSpecialtyCare
#PhysicalTherapy #Covid19Style @ CHOP Specialty Care &amp; Surgery Center, King of Prussia https://t.co/yCNFK7Yjsp",Pennsylvania,43,Pennsylvania,69252
10,"Life @ this time even in #covid19 Quarantine... @ Irving, Texas https://t.co/GARRHb5l2p",Texas,49,Texas,53053
11,https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Wednesday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/qxhlrslEzk #atx #austin #all512,Texas,49,Texas,53053
12,https://t.co/q1bIRBjDj8 The coronavirus arrived in Central Texas with the spring. That meant no South by Southwest and an early end to the school year. It also meant people stuck https://t.co/9gXeTpL0O0 #atx #austin #all512,Texas,49,Texas,53053
13,https://t.co/q1bIRBjDj8 The COVID-19 pandemic has hit every doorstep of every home in every part of the world. But the reality is some cities are being hit harder than others. New https://t.co/HnwDGHCjJF #atx #austin #all512,Texas,49,Texas,53053
14,https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Thursday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/uj0najZP45 #atx #austin #all512,Texas,49,Texas,53053
15,"https://t.co/q1bIRBjDj8 Barring an unforeseen breakthrough in COVID-19 testing or treatment, Austin public health officials say, it's unlikely large-scale events like ACL Fest or https://t.co/5I6C4hVSp3 #atx #austin #all512",Texas,49,Texas,53053
16,Good morning! @danettesoasis is so thankful that we are able to #reopen our #smallbusiness this week during the #COVID19 we have #pricechangescomingsoon 7-1-2020 @ Danette's Urban Oasis https://t.co/YzAKBI1sb4,Texas,49,Texas,53053
17,"This coronavirus and my goatee appear to have made me age. 95% brown hair on my crown, 60% white/grey in the beard. Considering shaving it. @ Dr. Brad L. Cooper, O.D. https://t.co/QVXROi9NXg",Texas,49,Texas,53053
18,https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Thursday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/zDd55eusj7 #atx #austin #all512,Texas,49,Texas,53053
19,Finishing elementary school Very proud of her through covid-19 and what she has learned and been through has she ended her elementary school year. #hve #vikingnation #lastdayofschool @ Highland Village Elementary https://t.co/oZXIUYtwTt,Texas,49,Texas,53053
20,"https://t.co/q1bIRBjDj8 As COVID-19 cases continue to rise in Texas, bar owners across the city are divided on whether the time is right to reopen https://t.co/ZEBOShHmZA #atx #austin #all512",Texas,49,Texas,53053
21,https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Thursday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/5vFa67QIYL #atx #austin #all512,Texas,49,Texas,53053
22,"https://t.co/q1bIRBjDj8 This post has local news on the coronavirus pandemic from Wednesday, May 20. Read Thursday's live updates here . If you'd like to go through a roundup of https://t.co/Gs56MRRRn9 #atx #austin #all512",Texas,49,Texas,53053
23,laughlin_afb thanks for the flyover #TexasStrong #MCHD #covid19 #getyourflushotearly @ Maverick County Hospital District https://t.co/Hhuy1MGuR0,Texas,49,Texas,53053
24,Date night post-corona.  #lovingouradventure #goosesacre @ The Gooses Acre Irish Pub https://t.co/wlp6ThLRDR,Texas,49,Texas,53053
25,https://t.co/q1bIRBjDj8 We'll be updating this story throughout the day Thursday with the latest local news on the coronavirus pandemic. If you'd like to go through a roundup of https://t.co/fNvQcImcgs #atx #austin #all512,Texas,49,Texas,53053
26,#Italian #restaurant #diningout #coronavirus #joedamico #thehostoflasvegas @ Spanish Trail Community https://t.co/OfLBZ84Oyx,Nevada,32,Nevada,7400
27,Wow.  Good luck with that https://t.co/0U7UhyhsV9,Nevada,32,Nevada,7400
28,"COVID-19 update 
old filters new filters on the gas bio mask @ Queens, New York https://t.co/19elKjYCyj",New York,36,New York,356458
29,"COVID-19 update @ Queens, New York https://t.co/K6s2aaQOI9",New York,36,New York,356458
30,Katie Sperring takes a closer look at the celebration of how female leaders have handled the coronavirus pandemic  https://t.co/x5rSRFGmeU,New York,36,New York,356458
31,"As States Locked Down In March, Motor Vehicle Fatality Rate Spiked By 14% : Coronavirus Live Updates : NPR
https://t.co/OiT18qwBMr",New York,36,New York,356458
32,"Good Pizza Good Morning 
#Eat #Good #Morning #Pizza #Foodies #Art #ArtAddict #lurking #Plotting #Health #Stealth #Wealth #Corona #Virus #K #Essential #Money #cocktails @ Times Square, New York City https://t.co/p4DKcvjbsH",New York,36,New York,356458
33,"THE NEW NORMAL 
#thenewhealthy 
#COVID-19DIARIES 
SOCIAL DISTANCING 
#STAYHOME
#lockdown @ Brooklyn, New York https://t.co/vdOTxqsCMF",New York,36,New York,356458
34,"#DoctorStrange saw 14,00,605 futures and this is the one he decided on?
.
.
#BenedictCumberbatch
#AvengersEndgame
#Quarantine
#QuarantineMemes
#CoronaVirus
#CoronaVirusMemes
#Covid_19
#Covid_19Memes @ Whiskey HQ https://t.co/ctEhfw14N5",New York,36,New York,356458
35,"#covid19 rates have decreased, not increased in states that have #reopened source: carl.quintanilla jpmorgan also #shoutout to flgovrondesantis @RepKristiNoem @gregabbott_tx govkemp @ New York, New York https://t.co/18C0eoOxVg",New York,36,New York,356458
36,How to apply for DC Public Benefits during COVID-19  https://t.co/no7tLoVN0w,New York,36,New York,356458
37,"#newyorktough #manhattan #ny #timessquare #rockefellercenter #59thstreet #trainstation #walking #around #after #work #pandemic #coronavirus #go #away #052020 @ Manhattan, New York https://t.co/W1gm1PhE8G",New York,36,New York,356458
38,Quarantine COVID Check In  https://t.co/oBQYIMg5HD,New York,36,New York,356458
39,"When you need to get cleaned up you make a special phone call. #haircut #quarantine #coronavirus2020 #vip #coronavirus #shave #feelinggood #clean #dl #itiswhatitis #disinfected @ Bronx, New York https://t.co/gEIwujbMlh",New York,36,New York,356458
40,Day 1000 of confinement. They let us out most mornings for exercise. And they turned the colors back on. #covid19 #spring #primavera @ Snug Harbor Cultural Center and Botanical Garden https://t.co/wzLbDn3gP3,New York,36,New York,356458
41,"COVID-19 update @ Queens, New York https://t.co/skxbJxV8QZ",New York,36,New York,356458
42,Corona Virus Update  https://t.co/Ozrt01WU5Y,New York,36,New York,356458
43,"COVID-19 update @ New York, New York https://t.co/g8BYPvbKtF",New York,36,New York,356458
44,"COVID-19 update 
At work??? @ Gristedes Supermarkets #059 https://t.co/7j9iNZjrJz",New York,36,New York,356458
45,"vodka redbull &gt; corona @ Findley Lake, New York https://t.co/3XLd3MUCp2",New York,36,New York,356458
46,"We are extremely sad to share this update.  https://t.co/cgoDp1SKdT @ Schenectady, New York https://t.co/De0zgm56qx",New York,36,New York,356458
47,Now on The Puddcast: #79: Charismatics in a time of COVID-19 (with Lucy Peppiatt)  https://t.co/YSR1d4FipA,New York,36,New York,356458
48,Corona NY Thu May 21st PM Forecast: TONIGHT Partly Cloudy Lo 31 SATURDAY Sunny Hi 41,New York,36,New York,356458
49,"#covid19 #lockdown #lovedown @ Brooklyn, New York https://t.co/JZpGa5r8wi",New York,36,New York,356458
50,"#clapbecausewecare #clapbecausewecarenyc #essentialworkers #hospitalworkers #covid19 #covid_19 #coronavirus #openthecountry @ Manhattan, New York https://t.co/3tMMwDq2vr",New York,36,New York,356458
51,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #BillionShieldsChallenge #faceshield ) https://t.co/bQR0x21zyF,New York,36,New York,356458
52,I challenge you to #SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #faceshield ) https://t.co/U85rrxWbuu,New York,36,New York,356458
53,#BillionShields Challenge is here! ?I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! https://t.co/b5luv683Ov #BillionShieldsChallenge #faceshield ) https://t.co/lMbKtZePYx,New York,36,New York,356458
54,Would you like to help a billion people? I challenge you to #SaveTheWorld from #Coronavirus! Help your friends and neighbors recycle empty soda bottles into face shields and become a hero!  https://t.co/b5luv683Ov  #BillionShieldsChallenge #faceshield ) https://t.co/KjtzgypjVJ,New York,36,New York,356458
55,#BillionShields Challenge is here! I challenge you to #SaveTheWorld:thanksdoc: from #Coronavirus! #BillionShieldsChallenge #faceshield ) https://t.co/E1tKtx9mv1,New York,36,New York,356458
56,I challenge you to #SaveTheWorld from #Coronavirus! Recycle empty soda bottles into face shields and become a hero!   #BillionShields  Russian https://t.co/lunyFgaptB #BillionShieldsChallenge #faceshield ) https://t.co/bbewmv8ac6,New York,36,New York,356458
